Database Name	ODA
Database Location	http://localhost/ODA/OdaService.asmx
Evaluation Signature	5c70e1c6-19e4-48a5-967a-57d2a5f3f9a7
Plate Name	490423695
Measurement	Measurement 3
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	All Cells - Number of Objects	All Cells - Non border cells - Mean per Well	Non border cells - Number of Objects	Non border cells - Total Spot Area - Mean per Well	Non border cells - Relative Spot Intensity - Mean per Well	Non border cells - Number of Spots - Mean per Well	Non border cells - Number of Spots per Area of Cell - Mean per Well	Spots Substrate - Number of Objects	Spots Substrate - Relative Spot Intensity - Mean per Well	Spots Substrate - Corrected Spot Intensity - Mean per Well	Spots Substrate - Uncorrected Spot Peak Intensity - Mean per Well	Spots Substrate - Spot Contrast - Mean per Well	Spots Substrate - Spot Background Intensity - Mean per Well	Spots Substrate - Spot Area [px²] - Mean per Well	Spots Substrate - Region Intensity - Mean per Well	Spots Substrate - Spot to Region Intensity - Mean per Well	Spots Substrate - Corrected Spot Intensity - StdDev per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	CO2	Target CO2	Compound	Concentration	Cell Type	Cell Count	
11	5	1	1	2407	0.916909015372	2207	753.080199366	0.57300564344	8.67648391482	0.00241632729724	19149	0.610131069225	1591.0113973	2750.98177451	0.536422589279	246.06036999	86.7955506815	1189.56543391	1.70802633204	5157.076638	25	0	0	InLimits	37	InLimits	5					
12	5	1	1	2173	0.909341923608	1976	772.174595142	0.557611752656	8.47267206478	0.00221788416871	16742	0.615571577951	1644.74833093	2840.53930235	0.543075069518	246.123417059	91.1370803966	1074.32990061	1.88039013813	5320.03691711	25	0	0	InLimits	37	InLimits	5					
13	5	1	1	1978	0.925682507583	1831	725.197160022	0.548357800884	8.31840524304	0.0022751917323	15231	0.618720278238	1576.38076233	2748.3423938	0.546801406835	242.331915048	87.1798306086	1022.4437349	1.91016806941	4940.0161003	25	0	0	InLimits	37	InLimits	5					
14	5	1	1	2023	0.918932278794	1859	696.389456697	0.553387699419	7.37762237762	0.00219382531287	13715	0.613544815906	1508.56131582	2631.81057237	0.539532589245	243.70250846	94.3921254101	1086.86989943	1.77178950276	4739.95869162	25	0	0	InLimits	37	InLimits	5					
15	5	1	1	2273	0.912890453146	2075	715.658313253	0.500943188155	8.42457831325	0.00241797871532	17481	0.615073402696	1633.75621957	2792.52199531	0.541991536866	243.203248003	84.9488587609	998.156073624	2.05729606	5543.94716592	25	0	0	InLimits	37	InLimits	5					
15	6	1	1	1986	0.915911379658	1819	683.251786696	0.509368677325	7.82297965915	0.00241941013609	14230	0.631621231679	1702.03271774	2916.9002811	0.560999074599	239.100522863	87.3390723823	979.049913929	2.07718607372	5368.40082046	25	0	0	InLimits	37	InLimits	5					
14	6	1	1	1651	0.929133858268	1534	685.715123859	0.549436674551	8.16492829205	0.0022908751033	12525	0.623186408373	1558.01264983	2724.12814371	0.552247897119	244.739862495	83.982994012	1076.78864979	1.83022880822	4817.91828179	25	0	0	InLimits	37	InLimits	5					
13	6	1	1	2465	0.914807302231	2255	723.890022173	0.551618488903	7.76363636364	0.00220764636972	17507	0.605718019461	1480.41398202	2584.54732393	0.530453028384	243.07611101	93.2411035586	1061.96828996	1.75061524423	4771.16550273	25	0	0	InLimits	37	InLimits	5					
12	6	1	1	2055	0.913868613139	1878	715.457401491	0.572602518771	8.16400425985	0.00226513990198	15332	0.615068090167	1652.93118057	2868.276024	0.542569307074	247.640263395	87.6355987477	1157.95318546	1.78010580516	5119.59287883	25	0	0	InLimits	37	InLimits	5					
11	6	1	1	2222	0.907740774077	2017	758.202776401	0.569796721493	9.34258800198	0.00250937871641	18844	0.612893815671	1602.40106838	2756.75716408	0.540175052578	245.561397099	81.155540225	1155.19057334	1.73181994545	5209.61372739	25	0	0	InLimits	37	InLimits	5					
10	6	1	1	2189	0.923709456373	2022	713.951533136	0.541985064294	7.65331355094	0.00216904907775	15475	0.612890534628	1553.59653629	2706.67599354	0.539556252786	243.316460156	93.2865912763	1049.16228251	1.81699524146	4952.91944196	25	0	0	InLimits	37	InLimits	5					
9	6	1	1	2151	0.932589493259	2006	711.943170489	0.558522632773	8.03240279163	0.00230698023816	16113	0.61296833069	1563.44296344	2734.9875256	0.540566980117	246.715070026	88.6338980947	1086.13649365	1.79203740641	4864.17378364	25	0	0	InLimits	37	InLimits	5					
8	6	1	1	2089	0.927237912877	1937	727.464636035	0.568030169309	8.41042849768	0.00250556575792	16291	0.614392473082	1627.03761758	2800.04247744	0.541278197526	245.127091697	86.49554969	1177.93711651	1.7090527743	5234.12706646	25	0	0	InLimits	37	InLimits	5					
7	6	1	1	2503	0.924890131842	2315	754.088552916	0.577541851674	8.39481641469	0.00239822151482	19434	0.607227380825	1611.14521833	2776.65555213	0.533310272056	249.771883629	89.827878975	1182.73330155	1.69157067157	5156.40441151	25	0	0	InLimits	37	InLimits	5					
6	6	1	1	2031	0.921221073363	1871	745.137894174	0.567470377702	9.86798503474	0.00273003971008	18463	0.61533727289	1612.44805807	2796.3843904	0.54317095284	249.407923216	75.5106429074	1179.15675998	1.7153072402	5127.83766399	25	0	0	InLimits	37	InLimits	5					
5	6	1	1	2199	0.927239654388	2039	731.132417852	0.572864073303	7.73369298676	0.00229015764538	15769	0.613833208516	1607.56746338	2794.09277697	0.540982076571	248.722448752	94.5385883696	1229.70195823	1.65815500888	4951.78103952	25	0	0	InLimits	37	InLimits	5					
4	6	1	1	1964	0.912423625255	1792	731.674107143	0.553740823811	7.26785714286	0.00215806575868	13024	0.611786987997	1506.05141827	2641.16561732	0.537740823775	245.469047778	100.672604423	1064.93365815	1.79328876931	4675.07701344	25	0	0	InLimits	37	InLimits	5					
3	6	1	1	1750	0.931428571429	1630	660.261349693	0.515611652424	7.53803680982	0.00232178811162	12287	0.617238804399	1491.29644089	2621.24896232	0.545446822406	246.386880703	87.590624237	992.788974775	1.84281770895	4730.95057913	25	0	0	InLimits	37	InLimits	5					
2	6	1	1	2241	0.930834448907	2086	677.196069032	0.474788865846	7.47123681687	0.00236087396026	15585	0.601197547299	1307.67793308	2315.85652871	0.52419918857	235.584339016	90.6404234841	814.80115916	2.00182658947	4399.96907631	25	0	0	InLimits	37	InLimits	5					
2	7	1	1	2124	0.918079096045	1950	731.827179487	0.497535787923	8.58102564103	0.00250622030886	16733	0.609034966851	1443.16532277	2526.85167035	0.535355791072	240.283861532	85.2843482938	905.031704246	1.91141514407	4826.6874225	25	0	0	InLimits	37	InLimits	5					
